household_size,children_in_household,household_type,district,quarter,value
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2020Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2020Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2020Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2021Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2021Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2021Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2021Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2022Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2022Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2022Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2022Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2023Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2023Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2023Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2023Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2024Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2024Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2024Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Bispebjerg,2024Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,1998Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,1999Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,2000Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,2001Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,2002Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,2002Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,2002Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,2002Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,2003Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,2003Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,2003Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,2003Q4,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,2004Q1,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,2004Q2,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,2004Q3,0.0
1 person,0 children,Couples living in consensual union and cohabiting couples,Brønshøj-Husum,2004Q4,0.0
